latitude,longitude,restaurant_id,district_id,city_id,name,street_address,area_address,district_address,region_address,category,cuisine,audience,average_rating,position_rating,price_rating,quality_rating,service_rating,space_rating,review_count,review_excellent_count,review_good_count,review_average_count,review_bad_count,view_count,like_count,checked_in_count,favourite_count,wanted_count,picture_count,status,time_clock,price_range,url
10.7659370000000,106.6541026000000,759782,13,217,Đặc Sản La Ngà - Lẩu Cá Lăng,347/158 Lê Đại Hành,Khu vực Phú Thọ ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,1,434,0,0,3,1,13,Đang mở cửa,00:01-02:00|09:00-23:59,35.000đ - 350.000đ,http://www.foody.vn/ho-chi-minh/dac-san-la-nga-lau-ca-lang
10.7641385688865,106.6448222100734,723637,13,217,Phương Rock Quán,587 Minh Phụng,Khu vực Đầm Sen ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",,--,--,--,--,--,0,,,,,409,0,0,3,1,29,Đang mở cửa,16:00-00:00,15.000đ - 179.000đ,http://www.foody.vn/ho-chi-minh/phuong-rock-quan
10.7684240000000,106.6523640000000,211476,13,217,Quán Cá Lóc Nướng - Quán Nhậu,"467/8 Lê Đại Hành, P. 11",Khu vực Phú Thọ ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",,--,--,--,--,--,0,,,,,445,0,2,0,0,8,Đang mở cửa,15:00-23:00,5.000đ - 300.000đ,http://www.foody.vn/ho-chi-minh/quan-ca-loc-nuong-quan-nhau
10.7553790000000,106.6431840000000,735892,13,217,Lẩu Dê 277 Minh Phụng - Cây Gõ,"277 Minh Phụng, P. 2",Khu vực Cây Gõ ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",,--,--,--,--,--,0,,,,,792,0,0,2,0,11,Đang mở cửa,00:01-01:30|15:00-23:59,10.000đ - 150.000đ,http://www.foody.vn/ho-chi-minh/lau-de-277-minh-phung-cay-go
10.7679220000000,106.6422164000000,633253,13,217,Lẩu Dê Như Ý,"341/1A1 Lạc Long Quân, P. 5",Khu vực Đầm Sen ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội",,--,--,--,--,--,0,,,,,164,0,1,1,0,0,Đang mở cửa,15:00-22:00,100.000đ - 150.000đ,http://www.foody.vn/ho-chi-minh/lau-de-nhu-y
10.7734070872862,106.6542639210820,256042,13,217,Út Thùy - Gỏi Cá Trích,"6/35 Đường Số 3, P. 15",Khu vực Cư Xá Lữ Gia ,Quận 11,TP. HCM,Ăn vặt/vỉa hè ,Món Việt,Nhóm hội,,--,--,--,--,--,0,,,,,800,0,1,0,7,1,Đang mở cửa,14:00-23:00,5.000đ - 60.000đ,http://www.foody.vn/ho-chi-minh/ut-thuy-goi-ca-trich
10.7632330000000,106.6421050000000,229553,13,217,Xiên Que Anh Mập,"203 Lạc Long Quân, P. 3",Khu vực Bình Thới ,Quận 11,TP. HCM,Quán nhậu,Món Việt,Nhóm hội,,--,--,--,--,--,0,,,,,285,0,1,0,2,1,Đang mở cửa,17:00-23:00,10.000đ - 40.000đ,http://www.foody.vn/ho-chi-minh/xien-que-anh-map
10.7551160000000,106.6435280000000,723591,13,217,Bê Thui & Lẩu Dê - Nhậu Bình Dân,"1486A Đường 3 Tháng 2, P. 16",Khu vực Cây Gõ ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội",,--,--,--,--,--,0,,,,,316,0,0,0,0,22,Đang mở cửa,16:30-23:55,40.000đ - 280.000đ,http://www.foody.vn/ho-chi-minh/be-thui-lau-de-nhau-binh-dan
10.7710690000000,106.6534310000000,637375,13,217,Hảo Hảo - Ốc & Hải Sản,"1 Lữ Gia, P.15",Khu vực Cư Xá Lữ Gia ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",,--,--,--,--,--,0,,,,,182,0,1,0,0,0,Đang mở cửa,16:00-23:30,30.000đ - 200.000đ,http://www.foody.vn/ho-chi-minh/hao-hao-oc-hai-san
10.7628780000000,106.6521850000000,634388,13,217,Ốc Đèn Chớp,196 Tôn Thất Hiệp,Khu vực Bình Thới ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Sinh viên, Giới văn phòng",,--,--,--,--,--,0,,,,,85,0,1,0,0,0,Đang mở cửa,16:00-23:00,30.000đ - 80.000đ,http://www.foody.vn/ho-chi-minh/oc-den-chop
